Format Version,1.24,Take Name,F30_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2026-08-27 05.59.46.773 PM,Capture Start Frame,71420,Total Frames in Take,2749,Total Exported Frames,2749,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1100,Unlabeled 1100,Unlabeled 1100,Unlabeled 1101,Unlabeled 1101,Unlabeled 1101,Unlabeled 1102,Unlabeled 1102,Unlabeled 1102,Unlabeled 1103,Unlabeled 1103,Unlabeled 1103,Unlabeled 1104,Unlabeled 1104,Unlabeled 1104,Unlabeled 1105,Unlabeled 1105,Unlabeled 1105,Unlabeled 1106,Unlabeled 1106,Unlabeled 1106,Unlabeled 1107,Unlabeled 1107,Unlabeled 1107,Unlabeled 1108,Unlabeled 1108,Unlabeled 1108,Unlabeled 1109,Unlabeled 1109,Unlabeled 1109,Unlabeled 1110,Unlabeled 1110,Unlabeled 1110,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118,Unlabeled 1119,Unlabeled 1119,Unlabeled 1119,Unlabeled 1120,Unlabeled 1120,Unlabeled 1120,Unlabeled 1121,Unlabeled 1121,Unlabeled 1121,Unlabeled 1122,Unlabeled 1122,Unlabeled 1122,Unlabeled 1123,Unlabeled 1123,Unlabeled 1123,Unlabeled 1124,Unlabeled 1124,Unlabeled 1124,Unlabeled 1125,Unlabeled 1125,Unlabeled 1125,Unlabeled 1126,Unlabeled 1126,Unlabeled 1126,Unlabeled 1127,Unlabeled 1127,Unlabeled 1127,Unlabeled 1128,Unlabeled 1128,Unlabeled 1128,Unlabeled 1129,Unlabeled 1129,Unlabeled 1129,Unlabeled 1130,Unlabeled 1130,Unlabeled 1130,Unlabeled 1131,Unlabeled 1131,Unlabeled 1131,Unlabeled 1132,Unlabeled 1132,Unlabeled 1132,Unlabeled 1133,Unlabeled 1133,Unlabeled 1133
,ID,"1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","7D5A0DB15A22F11F1","7D5A0DB15A22F11F1","7D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1ED5A0DB15A22F11F1","1ED5A0DB15A22F11F1","1ED5A0DB15A22F11F1","1FD5A0DB15A22F11F1","1FD5A0DB15A22F11F1","1FD5A0DB15A22F11F1","20D5A0DB15A22F11F1","20D5A0DB15A22F11F1","20D5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","26D5A0DB15A22F11F1","26D5A0DB15A22F11F1","26D5A0DB15A22F11F1","2BD5A0DB15A22F11F1","2BD5A0DB15A22F11F1","2BD5A0DB15A22F11F1","2CD5A0DB15A22F11F1","2CD5A0DB15A22F11F1","2CD5A0DB15A22F11F1","2DD5A0DB15A22F11F1","2DD5A0DB15A22F11F1","2DD5A0DB15A22F11F1","2ED5A0DB15A22F11F1","2ED5A0DB15A22F11F1","2ED5A0DB15A22F11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-2841.375732,699.932739,506.749268,-2792.582031,757.002869,636.489502,-2760.045410,759.079407,628.200562,-2740.147705,707.207214,509.532104,-2771.627197,1407.712158,939.879395,-2718.309326,1473.064697,941.100220,-2118.001465,957.812988,961.778931,-1578.834961,132.074356,535.181091,-1559.105225,96.564964,621.624512,-1566.157593,90.455269,664.432556,-2742.991699,708.256470,476.407745,-2886.973389,748.352173,504.598907,-2866.854736,725.031006,562.983337,-2547.584473,929.226440,599.841858,-2710.094727,1191.783813,516.663635,-2522.395508,896.077026,666.917236,-2688.560059,1394.234375,941.419617,-1515.083618,446.469147,1306.062378,-1597.950317,456.394867,1310.092041,-1547.291748,524.138916,1310.321411,-2783.680908,1165.621094,616.181702,-2803.219971,793.026672,626.603271,-2509.191162,969.506958,549.200195,-2814.875977,757.235718,468.798523,-1574.377319,139.435425,493.438019,-1358.258545,-25.281206,481.394470,-1371.491211,-53.808472,627.755249,-1377.921875,-60.461937,670.369629,-2818.459717,758.697571,423.311035,-2721.631104,1159.012695,616.799438,-2158.552246,901.064087,914.832886,-2107.498291,958.018555,878.643127,-2480.629150,943.818726,485.668976,,,
1,0.002778,-2841.376465,699.918823,506.784424,-2792.432617,756.935059,636.597290,-2760.062500,759.100098,628.194092,-2740.135010,707.185852,509.540131,-2771.636963,1407.704834,939.883240,-2718.316650,1473.065918,941.128052,-2118.026367,957.800598,961.806274,-1578.848145,132.069885,535.199951,-1559.010986,96.551643,621.527222,-1566.149414,90.444962,664.462952,-2742.991699,708.188782,476.410797,-2886.961182,748.371094,504.601593,-2866.838135,725.036987,562.996033,-2547.590820,929.200317,599.854797,-2710.098145,1191.791016,516.665955,-2522.414795,896.057922,666.927673,-2688.575928,1394.240479,941.402161,-1515.073486,446.490509,1306.046143,-1597.950073,456.338928,1310.156860,-1547.292114,524.119446,1310.319092,-2783.680908,1165.599121,616.203125,-2803.219482,793.027100,626.608948,-2509.196777,969.510986,549.196838,-2814.855469,757.221313,468.834869,-1574.454956,139.417099,493.503326,-1358.245361,-25.284286,481.398895,-1371.541138,-53.848915,627.842285,-1377.949585,-60.475861,670.349060,-2818.458252,758.694641,423.371155,-2721.629883,1159.011963,616.821533,-2158.522217,901.040039,914.868042,-2107.485107,958.027954,878.669250,-2480.697754,943.731934,485.669922,,,
2,0.005556,-2841.381592,699.904602,506.797607,-2792.470947,756.980774,636.782959,-2760.057861,759.107483,628.161804,-2740.127686,707.170227,509.540680,-2771.641602,1407.691284,939.894348,-2718.316406,1473.058960,941.157227,-2118.028564,957.784424,961.814636,-1578.852783,132.070999,535.214661,-1558.892090,96.518150,621.444092,-1566.149902,90.433617,664.458313,-2743.025146,708.162415,476.434937,-2886.970947,748.344299,504.610352,-2866.842529,725.023376,563.008179,-2547.593018,929.212097,599.865662,-2710.113770,1191.810181,516.647461,-2522.396973,896.056091,666.933228,-2688.588379,1394.247925,941.401001,-1515.068604,446.495331,1306.035767,-1597.938721,456.341583,1310.180176,-1547.300049,524.094360,1310.330200,-2783.675293,1165.580811,616.207275,-2803.204590,792.998901,626.607239,-2509.212646,969.523865,549.189636,-2814.831543,757.208984,468.950958,-1574.470459,139.407074,493.497314,-1358.267090,-25.312939,481.450165,-1371.564453,-53.889866,627.888123,-1377.960815,-60.461311,670.328857,-2818.486328,758.803040,423.543152,-2721.616211,1159.015625,616.822144,-2158.511230,901.026733,914.908813,-2107.482178,958.029724,878.679199,-2480.742920,943.682800,485.698059,,,
3,0.008333,-2841.382324,699.892090,506.828613,-2792.404785,756.942993,636.789734,-2760.104736,759.161499,628.207092,-2740.120117,707.153809,509.545929,-2771.640137,1407.683838,939.909729,-2718.332520,1473.062134,941.190735,-2118.029297,957.768188,961.827637,-1578.871338,132.095169,535.213623,-1558.808716,96.522446,621.370544,-1566.156006,90.417946,664.473389,-2743.020752,708.151245,476.426727,-2886.978027,748.346680,504.607605,-2866.851807,725.001953,563.040161,-2547.598633,929.216370,599.851868,-2710.138184,1191.817993,516.628418,-2522.415039,896.053101,666.946777,-2688.613281,1394.260742,941.383484,-1515.066406,446.495239,1306.015503,-1597.939941,456.315186,1310.218628,-1547.311890,524.093750,1310.335693,-2783.675049,1165.557007,616.200562,-2803.212158,793.002869,626.611084,-2509.267578,969.528503,549.150085,-2814.827393,757.231262,469.009308,-1574.470093,139.385239,493.534271,-1358.250000,-25.308527,481.446625,-1371.580566,-53.908413,627.898071,-1377.995605,-60.487534,670.310852,-2818.483887,758.761597,423.585876,-2721.623291,1159.021973,616.845520,-2158.518799,900.990051,914.959229,-2107.493408,958.018188,878.660828,-2480.802002,943.620667,485.711578,,,
4,0.011111,-2841.370605,699.876892,506.859711,-2792.474121,756.965393,636.860779,-2760.106445,759.163391,628.197876,-2740.120117,707.153625,509.543427,-2771.660156,1407.674194,939.924927,-2718.342529,1473.053833,941.213562,-2118.039795,957.744507,961.833679,-1578.855835,132.089020,535.225281,-1558.777832,96.544754,621.309814,-1566.162109,90.410995,664.449951,-2743.034668,708.109314,476.417175,-2886.998047,748.344666,504.603973,-2866.862305,725.019409,563.046570,-2547.602783,929.213623,599.853088,-2710.143555,1191.829834,516.619995,-2522.424072,896.049744,666.958435,-2688.620605,1394.259277,941.391907,-1515.067505,446.530151,1306.008667,-1597.922974,456.285461,1310.249268,-1547.297363,524.088623,1310.341064,-2783.683350,1165.567505,616.201172,-2803.227295,792.988159,626.617737,-2509.283447,969.541016,549.144165,-2814.829346,757.223755,469.071808,-1574.546753,139.382156,493.417145,-1358.275757,-25.335552,481.452759,-1371.605591,-53.923893,627.888611,-1377.997192,-60.501915,670.278687,-2818.485596,758.739685,423.633698,-2721.618164,1159.009399,616.879333,-2158.465820,900.943604,915.007629,-2107.481201,958.037842,878.655884,-2480.781738,943.636536,485.668823,,,
5,0.013889,-2841.367188,699.862000,506.865265,-2792.494141,756.981018,636.884216,-2760.116699,759.169983,628.200562,-2740.140137,707.146667,509.561707,-2771.676758,1407.674194,939.933411,-2718.341309,1473.062622,941.245789,-2118.058838,957.758789,961.826294,-1578.866699,132.088348,535.207703,-1558.784302,96.554268,621.282715,-1566.154175,90.419319,664.477661,-2743.038086,708.110840,476.390747,-2886.990723,748.346863,504.615540,-2866.870605,725.004272,563.044373,-2547.597412,929.190186,599.844055,-2710.166260,1191.844482,516.625366,-2522.420166,896.040283,666.963257,-2688.636475,1394.254517,941.397339,-1515.057617,446.521454,1305.999146,-1597.929932,456.257538,1310.284180,-1547.310181,524.102234,1310.326782,-2783.715332,1165.562866,616.184753,-2803.229248,792.987183,626.616699,-2509.278076,969.535950,549.143860,-2814.848145,757.230835,469.082520,-1574.558594,139.396378,493.418579,-1358.312866,-25.363306,481.467987,-1371.648438,-53.942280,627.935974,-1377.975830,-60.460899,670.261292,-2818.488525,758.719543,423.680054,-2721.653320,1159.011597,616.902344,-2158.471191,900.939270,915.009399,-2107.486084,958.029053,878.659729,-2480.784912,943.646240,485.654663,,,
