Format Version,1.24,Take Name,F60_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2026-08-27 06.00.33.420 PM,Capture Start Frame,88213,Total Frames in Take,2350,Total Exported Frames,2350,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,-2847.999023,704.652466,507.102783,-2792.697998,756.813049,636.322815,-2760.070312,759.239258,627.975525,-2746.473145,698.909973,510.267670,-2771.699707,1407.647583,939.946167,-2718.360352,1473.053223,941.260742,-2103.880615,972.826660,944.498779,-1578.875000,132.100464,535.356384,-1558.784912,96.567696,621.269531,-1566.183472,90.402786,664.466675,-2749.728760,700.174866,476.575897,-2887.258789,757.990601,504.132263,-2870.256348,733.110596,563.134216,-2547.609619,929.227722,599.831909,-2710.210938,1191.835938,516.605164,-2522.506592,895.989685,667.016907,-2688.666748,1394.249634,941.398682,-1515.069336,446.501495,1305.950928,-1597.929932,456.217010,1310.336060,-1547.328857,524.087646,1310.363403,-2783.721924,1165.549316,616.217529,-2803.182129,792.933533,626.445251,-2509.256592,969.585083,549.191101,-2815.077148,757.548950,469.001892,-1574.482422,139.342133,493.612823,-1358.408691,-25.393110,481.534790,-1371.646118,-53.962353,627.984924,-1378.009888,-60.437462,670.294128,-2817.390869,757.495605,421.397064,-2156.913574,907.414124,942.554565,-2123.506104,938.534851,870.712463,-2721.703613,1159.010864,616.871033,-2794.417236,754.807556,590.963989,-2481.328857,943.010376,485.944519
7,0.019444,-2848.020508,704.657898,507.103607,-2792.712402,756.819519,636.335938,-2760.070801,759.244812,627.973938,-2746.480469,698.905273,510.267029,-2771.708984,1407.644897,939.933228,-2718.376709,1473.050171,941.267944,-2103.873047,972.808594,944.502197,-1578.856567,132.104492,535.237183,-1558.789795,96.580154,621.270935,-1566.168823,90.422745,664.454102,-2749.740234,700.197510,476.564484,-2887.255859,757.980408,504.134521,-2870.275635,733.123718,563.136414,-2547.602051,929.209717,599.815735,-2710.218994,1191.840576,516.599365,-2522.502197,896.002930,667.014099,-2688.685059,1394.251343,941.401001,-1515.075195,446.522888,1305.961182,-1597.934570,456.222717,1310.343018,-1547.328491,524.084595,1310.348999,-2783.719238,1165.574463,616.216309,-2803.179443,792.936218,626.436951,-2509.260742,969.579651,549.186462,-2815.099609,757.554199,468.998688,-1574.471313,139.369064,493.591400,-1358.411865,-25.371763,481.516571,-1371.623535,-53.954472,627.944397,-1377.988770,-60.403885,670.293945,-2817.389404,757.538208,421.468903,-2156.904053,907.423767,942.527588,-2123.508301,938.534607,870.690063,-2721.732178,1159.013916,616.899292,-2794.531982,754.864441,590.916443,-2481.333984,942.965881,485.959473
8,0.022222,-2848.057861,704.660095,507.129791,-2792.726807,756.831299,636.343628,-2760.082764,759.238831,627.976318,-2746.489990,698.913269,510.294922,-2771.722168,1407.663086,939.940552,-2718.378662,1473.055664,941.258545,-2103.892334,972.812134,944.466614,-1578.837036,132.093063,535.194031,-1558.791016,96.617134,621.266602,-1566.157593,90.410378,664.467346,-2749.721436,700.146118,476.567017,-2887.262939,758.009827,504.146576,-2870.284912,733.141724,563.125305,-2547.593994,929.230591,599.790222,-2710.214111,1191.838867,516.604492,-2522.496582,896.010071,666.998962,-2688.675537,1394.255615,941.418823,-1515.067993,446.526245,1305.953613,-1597.951782,456.234436,1310.300293,-1547.332397,524.098816,1310.317261,-2783.714844,1165.583862,616.212830,-2803.178711,792.958496,626.434570,-2509.272217,969.579163,549.178284,-2815.115723,757.551331,468.998352,-1574.526489,139.365250,493.573151,-1358.363281,-25.335592,481.500275,-1371.632080,-53.930328,627.953491,-1377.949463,-60.394413,670.302551,-2817.410889,757.535522,421.472626,-2156.908691,907.449036,942.519592,-2123.509521,938.537231,870.672852,-2721.743652,1158.999146,616.890320,-2794.520508,754.862061,590.942444,-2481.328369,942.966980,485.990173
9,0.025000,-2848.072754,704.675110,507.112457,-2792.741211,756.851440,636.320557,-2760.091797,759.226135,627.980896,-2746.495850,698.913757,510.289368,-2771.735840,1407.669800,939.934875,-2718.382080,1473.061523,941.248291,-2103.884277,972.820618,944.433655,-1578.830322,132.116776,535.200439,-1558.837646,96.621101,621.279785,-1566.144287,90.451363,664.448425,-2749.732422,700.109985,476.588287,-2887.272949,758.009155,504.127808,-2870.299805,733.146606,563.119812,-2547.578125,929.260132,599.774719,-2710.205811,1191.833740,516.607056,-2522.500244,896.029602,666.973450,-2688.662109,1394.224609,941.440796,-1515.071533,446.513275,1305.948853,-1597.982056,456.255829,1310.259155,-1547.334351,524.111755,1310.274902,-2783.705811,1165.601196,616.323425,-2803.181152,792.989258,626.421387,-2509.288086,969.603516,549.168457,-2815.118164,757.565247,468.993744,-1574.498169,139.426407,493.522705,-1358.293213,-25.335215,481.437988,-1371.618530,-53.907879,627.911438,-1377.927002,-60.363960,670.302673,-2817.413086,757.503723,421.464691,-2156.916016,907.448486,942.513306,-2123.508789,938.557007,870.662048,-2721.765625,1159.009644,616.892700,-2794.586426,754.905945,590.885437,-2481.327881,942.927673,486.002930
10,0.027778,-2848.075684,704.692261,507.083466,-2792.756836,756.880127,636.283081,-2760.076416,759.222412,627.974487,-2746.556152,698.895142,510.290100,-2771.742188,1407.685913,939.915710,-2718.391846,1473.072754,941.229004,-2103.911865,972.823425,944.387878,-1578.834839,132.102173,535.190308,-1558.890381,96.652344,621.296936,-1566.129150,90.437187,664.453125,-2749.732666,700.109375,476.604584,-2887.265381,758.032959,504.110992,-2870.299561,733.154419,563.121460,-2547.580078,929.269653,599.752258,-2710.210693,1191.814209,516.609009,-2522.490967,896.064392,666.966797,-2688.684814,1394.236328,941.444641,-1515.080566,446.516388,1305.956177,-1597.999756,456.277802,1310.217041,-1547.330688,524.108276,1310.261353,-2783.700684,1165.631836,616.202454,-2803.175049,792.974548,626.408875,-2509.310791,969.603577,549.153931,-2815.127197,757.563477,468.980103,-1574.496948,139.439133,493.504333,-1358.282593,-25.280481,481.397430,-1371.585083,-53.876713,627.877319,-1377.895752,-60.361614,670.318848,-2817.332520,757.362122,421.336700,-2156.915771,907.445496,942.482605,-2123.519043,938.520813,870.634949,-2721.794434,1159.027832,616.869568,-2794.649902,754.940979,590.830627,-2481.321777,942.955017,486.015625
11,0.030556,-2848.098633,704.725647,507.055389,-2792.773438,756.888245,636.226135,-2760.091797,759.221985,627.979065,-2746.557373,698.899536,510.285431,-2771.750000,1407.714600,939.882202,-2718.388916,1473.077393,941.197021,-2104.018799,972.859680,944.314758,-1578.830200,132.113113,535.165649,-1558.962280,96.667198,621.346008,-1566.121216,90.459595,664.432739,-2749.714111,700.103638,476.616821,-2887.269531,758.038269,504.102112,-2870.309326,733.171082,563.086365,-2547.576172,929.278137,599.746582,-2710.184570,1191.799927,516.621948,-2522.492676,896.065735,666.947144,-2688.674561,1394.236206,941.455505,-1515.072876,446.521606,1305.973145,-1598.022095,456.299683,1310.160889,-1547.335815,524.135803,1310.242432,-2783.669434,1165.637329,616.290710,-2803.186523,793.002869,626.401917,-2509.292480,969.608398,549.163757,-2815.131348,757.575562,468.952576,-1574.647583,139.477478,493.452240,-1358.265503,-25.296690,481.363281,-1371.568237,-53.869415,627.819458,-1377.737915,-60.224174,670.324707,-2817.355957,757.307434,421.240601,-2156.900391,907.462280,942.455139,-2123.527832,938.528748,870.633972,-2721.790527,1159.003052,616.860474,-2794.674561,754.940369,590.780884,-2481.328369,942.926514,486.019531
12,0.033333,-2848.102783,704.740662,507.013550,-2792.792969,756.883179,636.178589,-2760.084473,759.218140,627.985107,-2746.483643,698.929565,510.300323,-2771.748291,1407.722534,939.864929,-2718.397705,1473.098145,941.176086,-2104.050537,972.867188,944.259583,-1578.830322,132.128159,535.134399,-1559.033325,96.697540,621.407104,-1566.109253,90.468376,664.408813,-2749.692871,700.063660,476.670258,-2887.250977,758.065491,504.064087,-2870.310303,733.175720,563.067139,-2547.594482,929.283569,599.720825,-2710.190430,1191.795410,516.619873,-2522.473389,896.083496,666.923767,-2688.654053,1394.225586,941.469360,-1515.075073,446.482513,1305.986328,-1598.024292,456.320526,1310.118286,-1547.330811,524.162415,1310.235352,-2783.648438,1165.656616,616.258362,-2803.167725,793.039185,626.358215,-2509.277832,969.615479,549.162231,-2815.141602,757.598877,468.931824,-1574.694580,139.518982,493.493530,-1358.241333,-25.278454,481.350250,-1371.557129,-53.841297,627.777527,-1377.788208,-60.307949,670.320251,-2817.349609,757.310791,421.226471,-2156.903809,907.490601,942.436646,-2123.545166,938.528076,870.606079,-2721.795166,1158.995605,616.847656,-2794.697998,754.974060,590.718323,-2481.323486,942.873962,486.055145
13,0.036111,-2848.069092,704.726807,506.948578,-2792.797607,756.897827,636.114258,-2760.070801,759.213440,627.980164,-2746.519531,698.926575,510.298615,-2771.758545,1407.725464,939.848083,-2718.393311,1473.104980,941.135071,-2103.987305,972.887573,944.202148,-1578.801880,132.117416,535.116821,-1559.119751,96.706398,621.491333,-1566.108276,90.458427,664.395752,-2749.570557,699.721619,476.841614,-2887.241455,758.068970,504.042877,-2870.313721,733.189514,563.054688,-2547.586670,929.304382,599.700500,-2710.168945,1191.782349,516.637146,-2522.465576,896.113464,666.902954,-2688.644043,1394.228394,941.473633,-1515.081055,446.452148,1306.012329,-1598.033203,456.358154,1310.061401,-1547.321045,524.170471,1310.234009,-2783.654541,1165.701172,616.264465,-2803.149170,793.068054,626.356018,-2509.261719,969.608521,549.150146,-2815.136230,757.582275,468.891968,-1574.406250,139.515640,493.295837,-1358.217285,-25.215681,481.307953,-1371.501587,-53.796566,627.711243,-1377.778564,-60.328297,670.359924,-2817.342041,757.333801,421.231598,-2156.892578,907.546082,942.374756,-2123.535156,938.492065,870.600769,-2721.799072,1159.001343,616.812988,-2794.741211,755.033081,590.622681,-2481.357666,942.850220,486.093658
14,0.038889,-2848.088135,704.754211,506.889709,-2792.767334,756.804321,635.938538,-2760.044189,759.166565,627.939941,-2746.512451,698.921448,510.290436,-2771.765137,1407.738525,939.817810,-2718.391357,1473.115356,941.096008,-2104.073730,972.908325,944.180054,-1578.804565,132.126709,535.049622,-1559.191895,96.680855,621.571289,-1566.091431,90.491096,664.368164,-2749.645996,699.991516,476.660126,-2887.256104,758.089539,504.022888,-2870.323242,733.204346,563.014526,-2547.588623,929.272217,599.663391,-2710.142578,1191.754272,516.662720,-2522.450684,896.130371,666.894714,-2688.630615,1394.230591,941.464783,-1515.086670,446.414337,1306.019287,-1598.026855,456.359222,1310.036743,-1547.300903,524.191895,1310.214966,-2783.675537,1165.721558,616.253784,-2803.129150,793.124329,626.305725,-2509.289307,969.586365,549.131226,-2815.144775,757.593750,468.855988,-1574.542969,139.543884,493.396820,-1358.187134,-25.172476,481.230103,-1371.430420,-53.758141,627.684204,-1377.628052,-60.204475,670.367249,-2817.308350,757.321228,421.218506,-2156.911865,907.544495,942.356995,-2123.551514,938.473206,870.592590,-2721.790771,1159.006470,616.802612,-2794.748535,755.021423,590.579712,-2481.345947,942.876892,486.102509
15,0.041667,-2848.099854,704.772400,506.861389,-2792.765381,756.766846,635.887085,-2760.039795,759.152771,627.952148,-2746.514404,698.932617,510.278412,-2771.765625,1407.728394,939.797424,-2718.383301,1473.107300,941.049622,-2104.115479,972.889526,944.134155,-1578.821899,132.150558,535.192322,-1559.223389,96.678497,621.599670,-1566.088257,90.509163,664.338867,-2749.550293,699.668213,476.867828,-2887.242676,758.104248,504.002686,-2870.336182,733.212402,562.996216,-2547.592041,929.272827,599.658203,-2710.139404,1191.745728,516.661316,-2522.450684,896.147156,666.858215,-2688.609619,1394.234375,941.470825,-1515.093750,446.434052,1306.053955,-1598.020264,456.378784,1310.016113,-1547.277466,524.205078,1310.209839,-2783.675537,1165.718628,616.237915,-2803.098633,793.177002,626.275330,-2509.279297,969.584045,549.129395,-2815.137695,757.595764,468.813782,-1574.497314,139.573074,493.377502,-1357.908691,-24.932327,480.951019,-1371.434082,-53.782448,627.668213,-1377.618774,-60.179451,670.374268,-2817.295898,757.286804,421.155579,-2156.895752,907.549561,942.334534,-2123.563232,938.446655,870.617920,-2721.774902,1158.992676,616.782837,-2794.730469,755.054443,590.518982,-2481.366699,942.842285,486.089355
